Administrative region;Cultivation;Yield [tFM ha^-1], M;Yield [tFM ha^-1], SD;Yield [tFM ha^-1], Min;Yield [tFM ha^-1], Max;Distribution;Source
Middle Franconia;Quinoa whole crop silage;18.01;1.82;10.28;25.09;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Middle Franconia;Rapeseed whole crop silage;34.98;3.48;23.12;48.19;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
Middle Franconia;Rye;4.79;0.33;3.59;5.95;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Silphia;53.93;17.46;0;120.02;Normal;Yield stability, establishment and environmental parameters of perennial energy crops - permanent crops II, Förster et al. (2021)
Middle Franconia;Sorghum;5;0.5;3.11;6.79;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Middle Franconia;Sorghum whole crop silage;51.21;10.7;9.49;89.45;Normal;Variety screening of cultivars by Technology and Support Center (TFZ)
Middle Franconia;Soy bean;3.05;0.34;1.69;4.28;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Sugar beets;65.06;9.99;28.07;100.18;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Summer barley;4.86;0.64;2.38;7.22;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Summer mixed cereals;4.29;0.7;1.92;7.03;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Summer rapeseed;2.4;0.38;0.98;3.9;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Summer wheat;4.77;0.3;3.48;5.89;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Sunflower;2.85;0.18;2.14;3.64;Normal;Yields per hectare in Bavaria 1958 - 2022, LfStat (2022)
Middle Franconia;Sunflower whole crop silage;40;3.98;24.73;56.2;Normal;Basic data for the implementation of the Fertilizer Ordinance, for consulting and planning and for calculations (LfL, 2023)
